date_id,rental_date,return_date
84,3/24/2024,3/28/2024
85,3/25/2024,3/28/2024
86,3/26/2024,3/29/2024
87,3/27/2024,3/29/2024
88,3/28/2024,3/29/2024
89,3/29/2024,4/2/2024
90,3/30/2024,4/1/2024
91,3/31/2024,4/4/2024
92,4/1/2024,4/5/2024
93,4/2/2024,4/4/2024
94,4/3/2024,4/5/2024
95,4/4/2024,4/6/2024
96,4/5/2024,4/7/2024
97,4/6/2024,4/8/2024
98,4/7/2024,4/11/2024
99,4/8/2024,4/10/2024
100,4/9/2024,4/10/2024
101,4/10/2024,4/13/2024
102,4/11/2024,4/13/2024
103,4/12/2024,4/14/2024
104,4/13/2024,4/17/2024
105,4/14/2024,4/16/2024
106,4/15/2024,4/17/2024
107,4/16/2024,4/18/2024
108,4/17/2024,4/21/2024
109,4/18/2024,4/20/2024
110,4/19/2024,4/22/2024
111,4/20/2024,4/24/2024
112,4/21/2024,4/24/2024
113,4/22/2024,4/26/2024
114,4/23/2024,4/25/2024
115,4/24/2024,4/27/2024
116,4/25/2024,4/29/2024
117,4/26/2024,4/27/2024
118,4/27/2024,4/29/2024
119,4/28/2024,5/2/2024
120,4/29/2024,4/30/2024
121,4/30/2024,5/4/2024
122,5/1/2024,5/2/2024
123,5/2/2024,5/4/2024
124,5/3/2024,5/6/2024
125,5/4/2024,5/5/2024
126,5/5/2024,5/9/2024
127,5/6/2024,5/8/2024
128,5/7/2024,5/8/2024
129,5/8/2024,5/12/2024
130,5/9/2024,5/13/2024
131,5/10/2024,5/14/2024
132,5/11/2024,5/12/2024
133,5/12/2024,5/13/2024
134,5/13/2024,5/14/2024
135,5/14/2024,5/17/2024
136,5/15/2024,5/16/2024
137,5/16/2024,5/17/2024
138,5/17/2024,5/18/2024
139,5/18/2024,5/21/2024
140,5/19/2024,5/20/2024
141,5/20/2024,5/24/2024
142,5/21/2024,5/22/2024
143,5/22/2024,5/26/2024
144,5/23/2024,5/27/2024
145,5/24/2024,5/28/2024
146,5/25/2024,5/28/2024
147,5/26/2024,5/29/2024
148,5/27/2024,5/30/2024
149,5/28/2024,5/29/2024
150,5/29/2024,6/2/2024
151,5/30/2024,6/2/2024
152,5/31/2024,6/3/2024
153,6/1/2024,6/2/2024
154,6/2/2024,6/5/2024
155,6/3/2024,6/4/2024
156,6/4/2024,6/6/2024
157,6/5/2024,6/8/2024
158,6/6/2024,6/8/2024
159,6/7/2024,6/8/2024
160,6/8/2024,6/12/2024
161,6/9/2024,6/12/2024
162,6/10/2024,6/11/2024
163,6/11/2024,6/15/2024
164,6/12/2024,6/16/2024
165,6/13/2024,6/15/2024
166,6/14/2024,6/15/2024
167,6/15/2024,6/19/2024
168,6/16/2024,6/19/2024
169,6/17/2024,6/20/2024
170,6/18/2024,6/20/2024
171,6/19/2024,6/23/2024
172,6/20/2024,6/21/2024
173,6/21/2024,6/24/2024
174,6/22/2024,6/26/2024
175,6/23/2024,6/27/2024
176,6/24/2024,6/26/2024
177,6/25/2024,6/28/2024
178,6/26/2024,6/29/2024
179,6/27/2024,6/28/2024
180,6/28/2024,7/1/2024
181,6/29/2024,6/30/2024
182,6/30/2024,7/3/2024
183,7/1/2024,7/3/2024
184,7/2/2024,7/5/2024
185,7/3/2024,7/4/2024
186,7/4/2024,7/5/2024
187,7/5/2024,7/7/2024
188,7/6/2024,7/9/2024
189,7/7/2024,7/10/2024
190,7/8/2024,7/10/2024
191,7/9/2024,7/12/2024
192,7/10/2024,7/13/2024
193,7/11/2024,7/12/2024
194,7/12/2024,7/15/2024
195,7/13/2024,7/16/2024
196,7/14/2024,7/16/2024
197,7/15/2024,7/17/2024
198,7/16/2024,7/20/2024
199,7/17/2024,7/18/2024
200,7/18/2024,7/21/2024
